question,domain,context_type,n_embed,unique_top1,hit_count
"시중은행, 지방은행, 인터넷은행의 인가 요건 및 절차에 차이가 있는데 그 차이점은 무엇인가요?",finance,paragraph,21,5,5
"은행업을 신청하고자 할 때, 은행법상 소유규제에 부합하는 대주주 요건을 충족하려면 어떤 서류를 제출해야하는지",finance,table,21,8,6
본인가를 받으려는 지방은행이 시중은행 전환시 예비인가를 받을 필요가 있는지 설명하시오. 그리고 예비인가를 받,finance,paragraph,21,6,5
"은행법에 의거 예비인가를 신청할 수 있는지와, 그 경우 금융위원회가 검토했어야 하는 요건은 무엇인가요?",finance,paragraph,21,10,1
2019년 YTD 기준으로 브라질의 주식 시장 수익률과 베트남의 주식 시장 수익률 사이에 어떤 차이가 있었나,finance,image,21,11,0
"바이오주 주가 급락에 따른 셀트리온의 주가 변동률과, 현대차, 삼성전자, 신한지주의 상승률, 그리고 POSC",finance,image,21,17,0
"미국, 중국, 한국에 대한 성과 및 주식시장 선호도의 예상 순서는 어떻게 됩니까?",finance,image,21,11,0
2001~2002년과 2008~2009년 중 어떤 기간의 경제 상황이 더 안 좋았는지 그 이유와 함께 설명해,finance,image,21,16,0
1995년에 연방 기준 금리가 하락한 후 S&P 500 지수와 10년물 미국 국채 금리는 각각 어떤 변화를 ,finance,image,21,12,0
2019년 영업이익과 순이익 각각이 2017년 대비 감소한 비율은 얼마나 되는가?,finance,image,21,12,0
투자 매력도 상위 국가들의 공통점은 무엇인가?,finance,image,21,12,0
실질금리란 무엇이며 실질금리와 설비투자의 관계에 대해 설명해주세요.,finance,image,21,14,0
2012년 2월부터 신탁은행이 취급하기 시작한 새로운 상품의 명칭과 이 상품의 출시 배경에 대해 설명하세요.,finance,paragraph,21,8,0
"2002년과 2012년에 걸쳐 변액연금 잔고와 월지급식 펀드 순자산이 어떠한 추세를 보였으며, 이를 통해 어",finance,paragraph,21,9,13
"가입기간에 따라 연금 수급액이 어떻게 차등 지급되며, 이를 보완하기 위해 검토 중인 방안에는 어떤 것들이 있",finance,paragraph,21,6,13
"2012년 대비 2025년에 지급비 합계는 얼마나 증가할 것으로 예상되며, 그중에서 의료비가 차지하는 비율은",finance,table,21,10,8
"고령자의 의료 확보에 관한 법률 시행령과 시행규칙, 이와 관련된 교부금 및 국고부담금 산정에 관한 정부령은 ",finance,table,21,7,0
2005년에 일본에서 제정된 고령화 대책법은 어떤 것들이 있나요?,finance,table,21,10,0
"간병 종사자 등의 인재확보를 위한 처우개선에 관한 법률은 언제 제정되었고, 그 법률번호는 무엇인가?",finance,table,21,7,14
1994년부터 2001년까지 고령사회 대책과 관련하여 가장 먼저 이루어진 이벤트와 그 연도와 마지막으로 이루,finance,table,21,6,16
"1996년, 2001년, 2012년의 대책대강에서 공통적으로 포함되어 있던 고령자의 취업에 관련된 주요 항목",finance,table,21,4,15
"정부, 기업, 금융산업이 협력하여 녹색금융을 확대 및 활성화함으로써 얻을 수 있는 세 가지 이점에는 무엇이 ",finance,paragraph,21,4,0
주요국들이 지구 평균기온 상승폭을 1.5oC 이내로 억제하기 위한 노력을 강화함에 따라 필요한 탄소배출량 감,finance,paragraph,21,5,13
"PRI, PSI, PRB에서 각각 공통적으로 강조하는 활동은 무엇이며, 이들 원칙에서 각각 독특하게 강조하는",finance,image,21,10,1
"TCFD의 '전략' 핵심요소는 어떤 기후변화 시나리오를 고려하면서 잠재적 재무 리스크를 파악하며, 그 리스크",finance,table,21,5,15
"기후위기 그린뉴딜 기본법과 녹색금융 특별법에서 주요하게 다룬 내용은 무엇이며, 이를 실행하기 위해 어떠한 협",finance,image,21,11,0
녹색금융 실행계획의 세 가지 목표를 각각 달성하기 위해 어떠한 구체적인 계획이 마련되어 있는지 설명해보세요.,finance,image,21,10,0
2030년까지 친환경 산업 확대를 통해 창출될 수 있는 일자리와 예상되는 매출은 어느 정도인가요?,finance,paragraph,21,5,16
"금융 회사가 이행리스크 분석을 위해 PCAF의 기준을 활용하여 탄소 배출량을 정량화하고, 이후 과학기반 탄소",finance,paragraph,21,5,13
"PCAF는 2020년 11월에 어떤 지침서를 제공했고, 그 지침서에 기반한 금융자산을 분류하는 방법은 무엇인",finance,paragraph,21,4,18
"2023년 4/4분기 중에 한국은행이 유동성조절을 위해 취한 대응책들에는 어떤 것들이 있으며, 그 결과로 이",finance,paragraph,21,5,17
2024년도 한국은행의 대정부 일시대출금 한도와 대출조건을 결정하는 과정에서 보완된 대출 부대조건에 대해 설,finance,paragraph,21,5,17
"공개시장운영 대상기관으로 선정된 자산운용사가 본격적으로 작동하게 된다면, 초단기금리의 안정에 어떻게 기여할 ",finance,paragraph,21,4,17
RP매매 시 대상증권의 배정 방식 개선과 이를 통한 운영리스크 축소 및 대상증권 활용도 제고 방안에 대해 설,finance,paragraph,21,5,17
2024년 한국의 GDP 성장률 전망과 주요 영향 요인들에 대해 설명해 주세요.,finance,paragraph,21,8,4
지난 2024년 2월에 기록된 소비자물가지수의 품목별 인플레이션 분포에서 1분위와 3분위의 수치는 각각 어떻,finance,paragraph,21,7,14
2023년에 각국에서 실행된 시장왜곡 가능성 있는 산업정책 중에서 영향 받는 품목을 특정할 수 있는 정책의 ,finance,paragraph,21,4,18
"비은행 금융기관의 부동산 PF 대출 연체율 상승에 따른 미래적 영향은 무엇이며, 어떤 부문에 큰 영향이 예상",finance,paragraph,21,5,15
미 연준은 어떠한 이유로 인해 금리인하를 결정하기에는 이른 시점이라고 평가하였나요? 또한 미 연준의 대차대조,finance,paragraph,21,6,16
"특정 국가의 중앙은행들이 인플레이션 둔화에 대응하려 정책금리 동결을 결정했다고 본문에서 언급되어 있는데, 이",finance,paragraph,21,5,7
"지방은행에서 시중은행으로의 전환 시 대법원의 처분 관련 선례가 어떻게 적용되는지, 그리고 이에 따른 심사 절",finance,paragraph,21,9,7
"은행업 인가의 경우 예비인가를 거치는 이유와, 정상적으로 은행업을 영위하고 있는 지방은행이 시중은행으로 전환",finance,paragraph,21,7,0
상생금융 과제 중 보험업권에서 중점적으로 추진하는 프로그램의 특징과 그로 인한 사회적 효과는 무엇인가요?,finance,paragraph,21,4,0
"보험업권이 2024년상반기에 출시한 '보험소비자 민생안정특약'과 관련해 설명할 수 있는 내용은 무엇이며, 이",finance,paragraph,21,3,19
"은행권 상생금융과 여전업권 상생금융에서 가장 많은 지원을 받은 주요 내용은 무엇이며, 그 지원 규모는 각각 ",finance,table,21,7,4
2024년 2월까지의 보험업권 상생금융의 지원실적은 얼마인가?,finance,table,21,10,2
"저금리 대환 프로그램' 확대 개편의 주요 내용 중, 대출금리 인하의 최대 범위와 그 기간은 어떻게 되나요?",finance,paragraph,21,10,2
핀테크 혁신펀드 투자로 기업가치가 크게 성장한 회사들의 예시와 그 성장 배율을 구체적으로 말해줄 수 있나요?,finance,paragraph,21,6,13
핀테크 혁신펀드 운용을 통해 기대되는 효과는 무엇인가요?,finance,image,21,6,2
"핀테크 혁신펀드 1호가 운용된 기간과 그 기간 동안의 투자 목표 금액, 실제 조성된 금액, 투자 완료된 금액",finance,paragraph,21,5,8
현행 계약형 퇴직연금제도와 기금형 퇴직연금제도의 주요 차이점은 무엇인가요?,finance,paragraph,21,4,18
"한국에서 퇴직연금제도가 시작된 유래가 어떠하며, DB제도와 DC제도가 기업과 노동자에게 어떠한 영향을 미치는",finance,paragraph,21,4,16
Garry Weaven이 속한 조직의 이름은 무엇인가요?,finance,image,21,9,0
"5년, 10년, 15년 국채 금리를 비교했을 때, 가장 금리가 높게 측정된 국가와 그 금리를 특정 기간 별로",finance,image,21,8,0
"1년, 3년, 5년, 10년 동안의 산업형기금, 기업형기금, 공적기금의 수익률을 비교했을 때, 어떤 기간 동",finance,image,21,13,0
"호주의 성공적인 연금 시스템이 강조하는 네 가지 요인 중, 동기와 문화를 활용하여 회원들에게 어떤 방식으로 ",finance,image,21,8,0
"기존 퇴직금, DB연금, DC연금, 해외 전통 DB의 파산위험 절연에 대해 설명해주세요.",finance,image,21,8,0
"DB연금과 해외 전통 DB의 차이점은 무엇이며, 각각의 기업 부담총액 계산 방식을 설명해주세요.",finance,image,21,9,0
100인 이하 근로자를 고용하는 사업체의 전체 근로자와 대비하여 가입 대상 근로자 수의 비율은 어떻게 되나요,finance,image,21,14,0
"DB, DC, CDC 연금 제도의 위험 유형은 무엇이며, 각각의 위험부담 내용을 비교해주세요.",finance,image,21,10,0
"2024년 1월, 2월, 3월 각각의 평균 조달금리와 응찰률이 어떻게 되나요?",public,table,21,12,3
2023년과 2024년 사이에서 선진국의 성장률 변화와 신흥국 물가 상승률의 변화를 비교해보면 어떠한 경향을,public,table,21,14,2
23~ '27년 부처 요구와 '22~'26년 계획의 증가율을 비교하자면 어떠한 차이가 나타나는지 설명해주세요,public,table,21,10,10
2023년에 비해 2026년의 조세부담률과 국민부담률의 변화율을 각각 알려주세요.,public,table,21,14,2
2023년에 비해 2027년에 의무지출의 비중이 얼마나 늘어난 것인가?,public,table,21,14,4
교당 평균 지원단가는 23년도와 24년도 사이에 어느 정도 변화하였나요? 그리고 이 변화율은 어느 정도인가요,public,table,21,8,12
"사서교사 정원이 2019년부터 2024년까지 어느 년도에서 가장 많이 증원되었는지, 그리고 그 증원규모는 얼",public,table,21,5,15
중앙재난심리회복지원단에서 제공하는 서비스를 각각 이용한 사람들의 수를 각기 다른 부처 별로 구분해 가장 많은,public,table,21,10,12
앙골라의 다이아몬드 생산량이 가장 높았던 년도와 그 년도의 생산량은 무엇인가요?,public,table,21,3,0
"2019년에 비해 2022년의 무역 수지는 어떻게 변화했으며, 그 원인은 무엇일까요?",public,table,21,15,0
산업고등기술센터 건립사업의 총 예산이 농업 현대화 사업(보충)이나 어류가공시설 및 냉동창고 건립사업 각각에 ,public,table,21,12,0
"외기 절대습도가 11.5 g/kg일 때, 각 구간별 결로 상태는 어떻게 되나요?",public,table,21,4,18
전남에서 가장 많은 학생을 수용할 수 있는 기관명칭과 그 과정명은 무엇인가요?,public,table,21,14,1
서울 강서구에 위치한 티웨이항공 항공훈련센터에서 진행되는 '객실승무원훈련과정 (세부 7개과정)'의 연간 수용,public,table,21,8,11
한국항공우주기술협회 항공기술교육원에서 '항공기 기종교육과정 - C-172 항공정비사' 과정에 참여하는 사람들,public,table,21,6,15
세 가지 주제에 대해 중점과제들을 구체적으로 설명하시오.,public,image,21,13,0
"2014년과 2023년 사이에 학생 1인당 장서 수, 국공립 학교 사서교사 수, 학교도서관 전담인력 배치 학",public,image,21,9,10
"학교 도서관의 핵심기능 중 자료 접근에 어떤 형태의 도서가 대부분 이용되고 있으며, 독서교육에서는 어떤 내용",public,image,21,8,0
"Téte António는 주어떤 상주대표를 역임하면서 어떤 대학에서 연수를 받았으며, 그의 외교부 장관으로서",public,image,21,6,0
재해자금 지원 대상 농업인이라면 위기·재기보증 단계에서 받을 수 있는 최대 대출액과 보증비율은 얼마인가요?,public,image,21,7,13
"2023년 국가재정운용계획 수립 절차 중, 분야별·지역별 예산협의회 및 간담회 개최 시기와 국회 제출 시기는",public,paragraph,21,7,11
"불요불급한 자산을 처분하여 회수하는 자금은 어떻게 활용되는지, 그리고 공공기관의 재무건전성 관리 강화를 위해",public,paragraph,21,10,11
"북한의 위협에 대응하기 위해 강화해야하는 한국형 3축체계와는 무엇이며, 이를 통해 향상시키려는 국방 분야의 ",public,paragraph,21,6,13
사업비 정산에 대한 절차 중 국고지원금 집행 시점과 사업종료 후 발생이자에 대한 처리 방안에 대해서 설명하시,public,paragraph,21,9,0
"‘24년 대학혁신지원사업에 대한 성과평가용 자료 제출 및 성과평가 실시가 언제 예정되어있고, 이에 따른 사업",public,paragraph,21,5,17
"2023년 국가안전시스템 개편에 대한 주요 성과와 함께, 이러한 개편을 통해 어떤 실질적인 훈련이 실시되었는",public,paragraph,21,13,1
"고향사랑기부제 2.0에서는 어떤 방식으로 기부한도 상향 및 기부방식을 개선하고, 향후 어떤 제도개선이 연구되",public,paragraph,21,6,15
"지방공공기관 구조개혁의 향후 계획으로 무엇이 제시되었으며, 이에 따르는 부채감축대상기관의 선정 기준은 무엇인",public,paragraph,21,6,16
"앞으로 2024년까지 교체되어질 CCTV의 수는 얼마나 되며, 이것이 관제의 범위에 어떤 영향을 미칠 것으로",public,paragraph,21,9,11
"처음에 재난피해 규모를 최소화하기 위해 지자체의 신속한 대응이 중요하다고 말씀하셨는데, 이를 위해 지역에서 ",public,paragraph,21,8,10
"정부24에 통합되어 제공될 '주요 서비스'는 언제 누적 몇 종이 될 계획인가, 그리고 그 중 어떤 기관의 어",public,paragraph,21,5,17
"착한가격업소 활성화를 위한 주요 지원책에는 어떤 것들이 있으며, 이를 통해 어떠한 결과를 도모하려는 것인지 ",public,paragraph,21,11,11
온기를 전달하는 나눔‧상생의 문화를 확산하기 위한 범국민‧지역별 추진본부의 구성 예정 시기와 주요 홍보 방법,public,paragraph,21,4,18
정부가 제주4.3사건 희생자 보상 및 여순사건 진상조사와 관련하여 주요한 활동은 무엇인가요?,public,paragraph,21,5,17
"2002년부터 2023년까지 학생 한 명당 장서(도서) 수가 어떻게 변화하였고, 이 변화에 대한 주요 전략은",public,paragraph,21,9,5
지금까지 학교도서관이 주로 수행해왔던 기능들과 그것이 디지털 시대에 직면한 새로운 독서교육 요구에 어떻게 부,public,paragraph,21,9,7
교육혁신을 위해 학교도서관 활용(협력) 수업 사례로 제시된 정보교과+사서교사의 수업에서는 어떤 주제와 교수전,public,paragraph,21,6,14
초3과 중1학생들에 대한 책임교육학년제의 필요성과 이와 관련된 미국과 프랑스의 시행 사례에 대해 설명해주세요,public,paragraph,21,5,17
"2023년에 발표된 '가을철 지역축제 안전관리협조 요청 사항'은 무엇인지, 그리고 이를 통해 지자체가 어떠한",public,paragraph,21,6,16
"112 반복신고 감지시스템은 어떻게 구성되어 있고, 그 효과는 어떻게 변화해 왔나요?",public,paragraph,21,5,17
"22년 대비 '23년에 시군구 지역안전관리위원회 개최 횟수는 어떻게 변하였고, 심의안건 중 인파안전관리 관련",public,paragraph,21,6,16
"2023년에 실시될 개선된 구조·구급훈련은 기존의 어떤 훈련들을 통합하고, 어떤 새로운 훈련을 신설하게 되는",public,paragraph,21,7,13
재난안전 상황관리를 위해 확대 운영된 시군구 상시 재난안전상황실의 수가 '23년 1월 대비 '23년 12월에,public,paragraph,21,6,15
2023년 벤처투자 회복을 위해 변화된 '복수의결권' 시행과 전면 네거티브 규제특례 적용에 대해 자세히 설명,public,paragraph,21,10,0
"2024년 세계경제 성장 및 교역 전망치를 바탕으로 미국, 중국, 독일, 대만의 경제 성장률 전망이 어떻게 ",public,paragraph,21,9,9
"정부의 소상공인 지원과 관련해 '대환대출', '일시적 경영 애로자금'의 확대 예산 규모와 시행 연도, 그리고",public,paragraph,21,7,0
"2024년에 수립된 자영업자 고용보험 가입 진흥 방안 중, 정부의 지원 총액과 정부가 지원하는 보험료 비율의",public,paragraph,21,11,11
"2024년에 신설할 'K-스카우터' 제도는 어떤 목적을 가진 제도이며, 이를 통해 어떤 활동이 추진될 예정인",public,paragraph,21,16,3
"ESG 대응 방안 중, '민·관 합동지원단'의 역할은 무엇인가요? 그리고 이를 통해 중소기업의 ESG 대응을",public,paragraph,21,5,17
앙골라와 유럽연합(EU)이 고위급 파트너십을 체결한 후 2023년 12월까지 제6차 장관급 회의를 가질 계획,public,paragraph,21,6,0
"앙골라가 2023년에 다른 유럽 국가들과 회담을 진행하였는데, 이 중에서 특히 어느 국가의 총리와 정상급 교",public,paragraph,21,5,0
앙골라의 TAAG항공이 연결한 국내외 노선 개수와 이에 대한 유럽연합의 안전 조치가 일어난 시기 그리고 신국,public,paragraph,21,2,0
수도 루안다를 중심으로 구축된 앙골라의 주요 교통 인프라와 그것이 앙골라 경제에 미친 영향에 대해 설명해주세,public,paragraph,21,12,1
"앙골라 정부의 외국인투자 유치법 개정에는 어떤 주요한 변화가 있었고, 그 변화로 인해 앞으로 앙골라 경제는 ",public,paragraph,21,6,0
"앙골라의 2022년 기준 원유 확인 매장량과 일산량, 주요 원유 수출 대상국을 각각 명시하고, 2023년 예",public,paragraph,21,5,0
앙골라의 소득 불균형 지표는 어떠한가? 그리고 UNDP 인간개발지수(HDI) 조사 결과 앙골라는 어떠한 변화,public,paragraph,21,16,0
"2023년 기준 앙골라와의 교역규모는 얼마이며, 대앙골라 누계 투자액은 2022년 기준으로 얼마인가요?",public,paragraph,21,9,1
앙골라를 중심으로 한 1994년 11월의 루사카 평화협정의 주요 내용은 무엇인가요?,public,paragraph,21,7,0
"청년농 우대보증 한도를 5억으로 정하고 후계농 정책자금으로 3억을 사용한 후, 다른 정책자금으로 남은 2억을",public,paragraph,21,5,0
"금융기관에서 담보 설정시 대출가능 금액이 토지와 시설물에서 각각 시세의 80%, 60% 수준인 이유와 이에 ",public,paragraph,21,8,0
유행성 각결막염(EKC)의 주요 병원체와 임상적인 증상에 대해 설명해주세요.,medical,table,21,9,13
"급성 출혈성 결막염은 어떠한 병원체로 인해 감염되며, 그 감염된 병원체의 잠복기는 얼마나 되나요?",medical,table,21,6,0
"2003년 사망통계에 따르면, 10만명당 허혈성심장질환으로 인한 사망률은 어떻게 되며 이것이 전체 사망 원인",medical,table,21,7,12
"양성종양과 악성종양(암)의 성장속도와 재발성, 전이성에 대한 차이점은 무엇인가요?",medical,table,21,7,15
각 암종류 별로 검진주기와 검진방법이 다르게 권장됩니다. 간암과 대장암의 경우 어떤 방식으로 얼마나 자주 시,medical,table,21,15,1
"1953년부터 2013년 동안 몇 번의 유행성각결막염이 일어났으며, 아데노바이러스의 주요 혈청형은 무엇인가요",medical,image,21,7,14
대한민국에서 가장 높은 조발생률을 가진 암과 그 조발생률은 무엇인가요? 그리고 해당 암의 5년 상대생존율은 ,medical,image,21,8,12
대한민국에서 두번째로 높은 조발생률을 가진 암은 무엇인가요? 그리고 5년 상대생존율이 가장 높은 암은 무엇인,medical,image,21,7,12
비방사선 검사인 직장수지검사의 장단점과 그 정확도는 어떠한가요?,medical,image,21,6,16
대장암 발생 고위험군으로 분류되는 위험 요인의 기준과 대장암 검진 외에 대장암 예방을 위해 실천해야하는 생활,medical,image,21,11,3
"NCCN 임상실무지침과 NCCN 임상실무지침 for Patients의 주요 차이점은 무엇이고, 각각 어떤 대",medical,image,21,5,11
고위험 그룹에 속하는 사람들은 어떤 유전성 암 증후군을 가지고 있는 사람들인가요?,medical,image,21,5,4
"대장암 검사 중 집에서 완료할 수 있으며 준비가 필요 없는 검사는 무엇이며, 이 검사의 한계는 무엇인가요?",medical,image,21,10,7
"가장 빠른 주기로 재검사를 권장하는 대장암 검진 방법 2가지는 무엇이며, 그각 얼마의 주기로 재검사를 권장하",medical,image,21,7,0
"위암의 병기를 결정하는 3가지 요소 중, 원발 종양의 침윤 깊이를 나타내는 요소와 그 병기들에 대해 설명하시",medical,image,21,9,4
"선천성 비루관 폐쇄증이 의심될 때, 증상 호전을 위한 처치 방법과 증상이 지속될 경우 어떤 치료 방법을 고려",medical,text,21,14,0
"아데노바이러스 중 어떤 형이 각결막염의 중증 사례의 주원인이며, 이것이 전세계적으로 주로 보고된 혈청형은 어",medical,text,21,6,16
2014년~2016년 동안 유행성 각결막염의 환자 분율이 가장 높았던 주와 그 때의 환자 분율을 연도별로 명,medical,text,21,8,14
"급성 여포성 결막염의 합병증 중 안구 건조증이 발생하는 원인과 그보통 지속되는 기간, 그리고 그 외 다른 합",medical,text,21,7,14
각막 상피하 혼탁 발생 시 쓰이는 약물과 이차적인 세균감염을 예방하는 데 사용되는 약물은 무엇인가요?,medical,text,21,5,13
"아폴로 눈병'이라고 불리는 급성 출혈성 결막염의 원인이 되는 바이러스는 무엇이며, 1986년부터 발생된 이 ",medical,text,21,8,12
2014~2016년동안 국내에서 급성 출혈성 결막염에 걸린 환자 중 가장 많은 연령층은 어떤 연령대였나요?,medical,text,21,8,11
"엔테로바이러스 70형과 콕사키바이러스 A24V형에서 임상양상이 나타나는 기간은 어떻게 다르며, 이 바이러스들",medical,text,21,4,9
2009년 12월에서 2010년 7월까지 발생한 약 300명의 유행성 각결막염 환자들의 진단 과정에서 특이사,medical,text,21,7,15
안구건조증에 대한 The International Dry Eye Workshop에서의 표준적인 분류체계는 어,medical,text,21,5,17
"암환자 중에서 혈액응고장애에 의한 뇌출혈 비율은 어느 정도이며, 이중 얼마나 많은 비율이 병원에서 사망하거나",medical,text,21,5,16
